epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8746.59,0.92831,1.35651,1.12615,0.61007,0.56252,0.57512,0.32712,1.15512,1.79666,1.27823,0.007228,0.007228,0.007228
44,8949.76,0.928,1.37613,1.13252,0.59506,0.55453,0.55086,0.3366,1.14629,1.74797,1.28506,0.007162,0.007162,0.007162
45,9152.85,0.93001,1.37134,1.13967,0.60664,0.56363,0.56915,0.34524,1.16949,1.716,1.29624,0.007096,0.007096,0.007096
46,9355.85,0.92147,1.38357,1.12766,0.56265,0.61,0.54772,0.33086,1.15737,1.73786,1.30322,0.00703,0.00703,0.00703
47,9558.8,0.91143,1.33679,1.12925,0.6027,0.6241,0.57778,0.34659,1.15427,1.73587,1.29771,0.006964,0.006964,0.006964
48,9762.16,0.9335,1.36111,1.13055,0.63393,0.66247,0.60064,0.35149,1.17799,1.70065,1.30825,0.006898,0.006898,0.006898
49,9965.11,0.92293,1.33487,1.12328,0.60268,0.59523,0.55287,0.33842,1.15251,1.67974,1.28868,0.006832,0.006832,0.006832
50,10168.1,0.92251,1.35578,1.13769,0.60562,0.56211,0.56926,0.34599,1.14648,1.68707,1.2941,0.006766,0.006766,0.006766
51,10371.1,0.91423,1.32545,1.13135,0.66242,0.51768,0.54885,0.33931,1.17086,1.78148,1.30277,0.0067,0.0067,0.0067
52,10574.2,0.90348,1.30085,1.11715,0.63906,0.5543,0.57865,0.35356,1.1408,1.74463,1.28839,0.006634,0.006634,0.006634
53,10777.3,0.90128,1.30707,1.11913,0.67875,0.50289,0.54885,0.33293,1.16719,1.7926,1.30481,0.006568,0.006568,0.006568
54,10980.4,0.89651,1.27153,1.12049,0.60749,0.58092,0.58391,0.36435,1.1564,1.63675,1.29976,0.006502,0.006502,0.006502
55,11183.4,0.89046,1.29985,1.11819,0.5968,0.58235,0.56465,0.33478,1.15647,1.75398,1.30784,0.006436,0.006436,0.006436
56,11387,0.89303,1.27709,1.11834,0.64404,0.55189,0.55775,0.34196,1.14769,1.75419,1.30486,0.00637,0.00637,0.00637
57,11590.1,0.89259,1.25302,1.11405,0.63197,0.53086,0.58865,0.35826,1.14614,1.66542,1.29305,0.006304,0.006304,0.006304
58,11792.9,0.8912,1.24901,1.11479,0.64116,0.55422,0.58805,0.34511,1.13951,1.70574,1.27861,0.006238,0.006238,0.006238
59,11996,0.89569,1.24772,1.1138,0.61728,0.58389,0.59276,0.3565,1.14542,1.66136,1.29153,0.006172,0.006172,0.006172
60,12199.1,0.88194,1.24959,1.10924,0.58757,0.63763,0.58989,0.35257,1.16603,1.6743,1.30373,0.006106,0.006106,0.006106
61,12402.1,0.88441,1.22045,1.10706,0.68643,0.57569,0.58664,0.34687,1.16094,1.68811,1.28438,0.00604,0.00604,0.00604
62,12605.1,0.88455,1.21663,1.10545,0.62715,0.60304,0.57006,0.33897,1.1544,1.74748,1.28905,0.005974,0.005974,0.005974
